Branch_ID,Region,Ad_Budget_K,New_Accnts_Opened
B001,North,4,58
B002,North,12,79
B003,North,7,66
B004,North,2,49
B005,North,15,88
B006,North,9,73
B007,North,5,61
B008,North,18,94
B009,North,11,76
B010,North,14,84
B011,South,3,47
B012,South,8,63
B013,South,16,86
B014,South,6,56
B015,South,10,71
B016,South,1,40
B017,South,13,79
B018,South,7,60
B019,South,19,95
B020,South,5,53
B021,East,6,65
B022,East,14,89
B023,East,2,51
B024,East,11,81
B025,East,8,72
B026,East,17,97
B027,East,4,59
B028,East,12,83
B029,East,9,75
B030,East,15,92
B031,West,5,54
B032,West,13,80
B033,West,1,39
B034,West,9,68
B035,West,18,93
B036,West,3,48
B037,West,10,72
B038,West,7,62
B039,West,16,88
B040,West,4,51
B041,Central,8,69
B042,Central,2,46
B043,Central,15,87
B044,Central,6,62
B045,Central,11,77
B046,Central,1,43
B047,Central,17,92
B048,Central,5,58
B049,Central,14,85
B050,Central,10,74
